m_p,m_u,seed,estimator,mse
25,50,17,combined,0.015898676542391427
25,50,17,pooled,0.015878580901953904
25,50,18,paired,0.008096987879525872
25,50,18,unpaired,0.04645550054355948
25,50,18,combined,0.021737953576015524
25,50,18,pooled,0.019458902258629243
25,50,19,paired,0.04189375251026007
25,50,19,unpaired,0.037865883653046134
25,50,19,combined,0.015522200658429701
25,50,19,pooled,0.015333043171468722
25,50,20,paired,0.013666966968255066
25,50,20,unpaired,0.03182177092703034
25,50,20,combined,0.013946734277047991
25,50,20,pooled,0.01578466557355601
25,50,21,paired,0.011529888508316767
25,50,21,unpaired,0.05855919516042155
25,50,21,combined,0.02821111109666293
25,50,21,pooled,0.02432758542086804
25,50,22,paired,0.014170729545371082
25,50,22,unpaired,0.029931683697950913
25,50,22,combined,0.015448441994082922
25,50,22,pooled,0.016217659684941953
25,50,23,paired,0.014121320366192238
25,50,23,unpaired,0.03945442447371352
25,50,23,combined,0.0183629848163219
25,50,23,pooled,0.019316284349056825
25,50,24,paired,0.006855384137818411
25,50,24,unpaired,0.03809991611306339
25,50,24,combined,0.019232740119649643
25,50,24,pooled,0.0220298869188168
25,50,25,paired,0.005471264515093269
25,50,25,unpaired,0.073127727351532
25,50,25,combined,0.03632933233792075
25,50,25,pooled,0.03415028747627114
25,50,26,paired,0.014585636173502869
25,50,26,unpaired,0.05493867570926361
25,50,26,combined,0.03118481305162373
25,50,26,pooled,0.023707068063304523
25,50,27,paired,0.009282142231171837
25,50,27,unpaired,0.035888717272295215
25,50,27,combined,0.01804718650873702
25,50,27,pooled,0.018484087008776788
25,50,28,paired,0.010463142588346798
25,50,28,unpaired,0.036932262698095325
25,50,28,combined,0.018316397480315903
25,50,28,pooled,0.01799221070185948
25,50,29,paired,0.03611647922602219
25,50,29,unpaired,0.060523611277898196
25,50,29,combined,0.03422639393338137
25,50,29,pooled,0.03719773631090501
25,50,30,paired,0.01693600098218971
25,50,30,unpaired,0.05032043031902613
25,50,30,combined,0.02493809938778611
25,50,30,pooled,0.021594364442746126
25,50,31,paired,0.017102836020367055
25,50,31,unpaired,0.05126953378204445
25,50,31,combined,0.025216264828375037
25,50,31,pooled,0.025387129784676457
25,50,32,paired,0.020074947996458734
25,50,32,unpaired,0.03835661025814495
25,50,32,combined,0.019839176321513965
25,50,32,pooled,0.020945503256593265
25,50,33,paired,0.011379654606833963
25,50,33,unpaired,0.06538739377292696
25,50,33,combined,0.03628001670987264
25,50,33,pooled,0.035768015033084084
25,50,34,paired,0.007653565968981441
25,50,34,unpaired,0.03519274790881545
25,50,34,combined,0.01705828852123886
25,50,34,pooled,0.018870837509573322
25,50,35,paired,0.019299912220337147
25,50,35,unpaired,0.04228067545152758
25,50,35,combined,0.024856107099952153
