experiment,estimator,mae,seed,obs_prob
task_parity,rbf_paired,1.900727332936023,13,0.3
task_parity,rbf_unpaired,1.5788973174768635,13,0.3
task_parity,rbf_combined,1.2553146874149663,13,0.3
task_parity,rbf_paired,1.6768648729115514,14,0.3
task_parity,rbf_unpaired,1.2387622024502123,14,0.3
task_parity,rbf_combined,1.1210090763343985,14,0.3
task_parity,rbf_paired,1.4502501471555216,15,0.3
task_parity,rbf_unpaired,1.1129255683999577,15,0.3
task_parity,rbf_combined,1.0613542507195772,15,0.3
task_parity,rbf_paired,1.4516192086893032,16,0.3
task_parity,rbf_unpaired,1.0633994191431655,16,0.3
task_parity,rbf_combined,1.0146550590151866,16,0.3
task_parity,rbf_paired,1.5852223299710115,17,0.3
task_parity,rbf_unpaired,1.2613034266621204,17,0.3
task_parity,rbf_combined,1.0364928200521188,17,0.3
task_parity,rbf_paired,1.7330691274759291,18,0.3
task_parity,rbf_unpaired,1.420535614523675,18,0.3
task_parity,rbf_combined,1.3527617006192205,18,0.3
task_parity,rbf_paired,1.6592033796147507,19,0.3
task_parity,rbf_unpaired,1.2558298634849552,19,0.3
task_parity,rbf_combined,1.1747169188906499,19,0.3
task_parity,rbf_paired,1.5768197876981005,20,0.3
task_parity,rbf_unpaired,1.2204408750457132,20,0.3
task_parity,rbf_combined,1.1326896992965219,20,0.3
task_parity,rbf_paired,1.634295599408244,21,0.3
task_parity,rbf_unpaired,1.3164165378950798,21,0.3
task_parity,rbf_combined,1.191143755371443,21,0.3
task_parity,rbf_paired,1.6593304592191596,22,0.3
task_parity,rbf_unpaired,1.4380666539728666,22,0.3
task_parity,rbf_combined,1.1878973225287848,22,0.3
task_parity,rbf_paired,1.763159093229603,23,0.3
task_parity,rbf_unpaired,1.2064269588645145,23,0.3
task_parity,rbf_combined,1.0809889782496709,23,0.3
task_parity,rbf_paired,1.7054522307826334,24,0.3
task_parity,rbf_unpaired,1.2751450027659201,24,0.3
task_parity,rbf_combined,1.133430234500857,24,0.3
task_parity,rbf_paired,1.7317621059525603,25,0.3
task_parity,rbf_unpaired,1.3336425527998632,25,0.3
task_parity,rbf_combined,1.2044847148783768,25,0.3
task_parity,rbf_paired,1.6579819654040147,26,0.3
task_parity,rbf_unpaired,1.3089655361424366,26,0.3
task_parity,rbf_combined,1.1713280390310117,26,0.3
task_parity,rbf_paired,1.5648801761479918,27,0.3
task_parity,rbf_unpaired,1.1667821943521701,27,0.3
task_parity,rbf_combined,1.0174219362977328,27,0.3
task_parity,rbf_paired,1.6432895073957798,28,0.3
task_parity,rbf_unpaired,1.1131560421146762,28,0.3
task_parity,rbf_combined,0.9988957150373486,28,0.3
task_parity,rbf_paired,1.3354621709098982,29,0.3
task_parity,rbf_unpaired,1.1857438328496928,29,0.3
task_parity,rbf_combined,1.05147423427513,29,0.3
task_parity,rbf_paired,1.6877730447247616,30,0.3
task_parity,rbf_unpaired,1.2316796491707094,30,0.3
task_parity,rbf_combined,1.1364641304207799,30,0.3
task_parity,rbf_paired,1.8498048736509998,31,0.3
task_parity,rbf_unpaired,1.433635095993733,31,0.3
task_parity,rbf_combined,1.1772455212646642,31,0.3
task_parity,rbf_paired,1.4074379082370498,32,0.3
task_parity,rbf_unpaired,1.1272213165748193,32,0.3
task_parity,rbf_combined,0.9890292550506682,32,0.3
task_parity,rbf_paired,1.7397018518185876,33,0.3
task_parity,rbf_unpaired,1.4197877972539934,33,0.3
task_parity,rbf_combined,1.133267194988232,33,0.3
task_parity,rbf_paired,1.501350167769541,34,0.3
task_parity,rbf_unpaired,1.239168942546282,34,0.3
task_parity,rbf_combined,1.1882729354789079,34,0.3
task_parity,rbf_paired,1.6061198030954087,35,0.3
task_parity,rbf_unpaired,1.202969414810819,35,0.3
task_parity,rbf_combined,1.0978416368884727,35,0.3
task_parity,rbf_paired,1.4235868041802864,36,0.3
task_parity,rbf_unpaired,0.9800269321972707,36,0.3
task_parity,rbf_combined,0.90864302406449,36,0.3
task_parity,rbf_paired,1.5401615820275207,37,0.3
task_parity,rbf_unpaired,1.2157844161061635,37,0.3
task_parity,rbf_combined,1.040122457452237,37,0.3
task_parity,rbf_paired,1.3937930579226963,38,0.3
task_parity,rbf_unpaired,1.1065079888226699,38,0.3
task_parity,rbf_combined,0.955988777760511,38,0.3
task_parity,rbf_paired,1.6833101912954778,39,0.3
task_parity,rbf_unpaired,1.2356909493346901,39,0.3
task_parity,rbf_combined,1.1293895708931205,39,0.3
task_parity,rbf_paired,1.7609077912382594,40,0.3
task_parity,rbf_unpaired,1.2642036906204128,40,0.3
task_parity,rbf_combined,1.1628352225594836,40,0.3
task_parity,rbf_paired,1.7974833084685964,41,0.3
task_parity,rbf_unpaired,1.368406454581613,41,0.3
task_parity,rbf_combined,1.2531674716560113,41,0.3
task_parity,rbf_paired,1.599618254705571,42,0.3
task_parity,rbf_unpaired,1.2404436962876342,42,0.3
task_parity,rbf_combined,1.1390448114397287,42,0.3
task_parity,rbf_paired,1.525492980979506,43,0.3
task_parity,rbf_unpaired,1.2508986480291553,43,0.3
task_parity,rbf_combined,1.0546741994353543,43,0.3
task_parity,rbf_paired,1.7219542552075997,44,0.3
task_parity,rbf_unpaired,1.246781685672327,44,0.3
task_parity,rbf_combined,1.1089433913094464,44,0.3
task_parity,rbf_paired,1.9201980160750152,45,0.3
task_parity,rbf_unpaired,1.5746910843395274,45,0.3
task_parity,rbf_combined,1.4240299659738433,45,0.3
task_parity,rbf_paired,1.5379408301457627,46,0.3
task_parity,rbf_unpaired,1.1525350168769082,46,0.3
task_parity,rbf_combined,1.107478982932987,46,0.3
task_parity,rbf_paired,1.3606241682696574,47,0.3
task_parity,rbf_unpaired,1.1707178286978792,47,0.3
task_parity,rbf_combined,1.0002924234171402,47,0.3
task_parity,rbf_paired,1.6763860225948561,48,0.3
task_parity,rbf_unpaired,1.3869999710580665,48,0.3
task_parity,rbf_combined,1.1682807407330194,48,0.3
task_parity,rbf_paired,1.5638722054872503,49,0.3
task_parity,rbf_unpaired,1.1822749982037646,49,0.3
